Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
700,BossWin,39.3,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,400,1141,0.54,0.00,0.00,5,7,0
701,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,5,2344,0.06,1.00,0.97,0,19,8
702,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,280,2128,0.15,0.00,0.60,7,3,11
703,BossWin,41.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,400,505,0.80,0.00,0.00,5,2,4
704,BossWin,63.9,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,400,661,0.74,0.00,0.00,4,2,4
705,BossLose,86.6,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,321,2500,0.00,0.00,0.39,9,1,20
706,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,0,2330,0.07,1.00,1.00,0,22,7
707,BossWin,48.8,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,400,831,0.67,0.00,0.00,6,3,3
708,BossLose,75.6,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,101,2500,0.00,0.83,0.66,1,13,6
709,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,27,2334,0.07,0.87,1.00,0,26,1
710,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,234,2336,0.07,0.00,0.83,2,18,13
711,BossWin,76.6,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,400,1592,0.36,0.00,0.00,6,4,12
712,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,228,1495,0.40,0.00,0.86,3,5,5
713,BossWin,36.1,BossRangedZoner,PlayerCCDebuffer,PlayerMeleeBurst,400,794,0.68,0.00,0.00,5,5,2
714,BossWin,40.6,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,400,527,0.79,0.00,0.00,4,5,3
715,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,200,1785,0.29,0.00,1.00,2,13,1
716,BossLose,52.8,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,247,2500,0.00,0.00,0.76,2,12,8
717,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,200,1891,0.24,0.00,1.00,5,3,13
718,BossWin,46.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,400,890,0.64,0.00,0.00,4,4,3
719,BossLose,71.0,BossMeleeAggro,PlayerMeleeBurst,PlayerTrainingSkillPool,218,2500,0.00,0.91,0.00,4,17,3
720,BossWin,18.3,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,400,490,0.80,0.00,0.00,2,2,1
721,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,286,1123,0.55,0.00,0.57,5,2,17
722,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,286,1509,0.40,0.00,0.57,8,4,22
723,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,282,2446,0.02,0.00,0.59,4,12,19
724,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,67,2154,0.14,0.66,1.00,1,13,12
725,BossLose,45.2,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,25,2500,0.00,1.00,0.87,1,9,7
726,BossWin,40.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1157,0.54,0.00,0.00,5,6,3
727,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,310,1615,0.35,0.00,0.45,3,11,1
728,BossWin,87.7,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,400,933,0.63,0.00,0.00,6,4,5
729,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,200,758,0.70,0.00,1.00,6,4,1
730,BossWin,32.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,625,0.75,0.00,0.00,5,3,1
731,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,200,2221,0.11,0.00,1.00,6,14,12
732,BossWin,30.1,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,400,1166,0.53,0.00,0.00,4,6,1
733,BossLose,78.4,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,345,2500,0.00,0.00,0.27,2,5,12
734,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,362,1459,0.42,0.00,0.19,6,3,7
735,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,200,1661,0.34,0.00,1.00,4,9,9
736,BossWin,76.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,883,0.65,0.00,0.00,5,7,3
737,BossLose,52.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,268,2500,0.00,0.50,0.16,1,13,5
738,BossWin,60.3,BossMeleeAggro,PlayerHybridSurvivor,PlayerMeleeBurst,400,1801,0.28,0.00,0.00,5,7,5
739,BossWin,62.1,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,1620,0.35,0.00,0.00,5,11,3
740,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,258,2015,0.19,0.00,0.71,4,9,3
741,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,286,965,0.61,0.00,0.57,9,2,16
742,BossLose,65.9,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,147,2500,0.00,0.26,1.00,1,16,11
743,BossWin,40.2,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,400,275,0.89,0.00,0.00,6,6,1
744,BossLose,71.8,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,176,2500,0.00,0.68,0.44,2,20,8
745,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,200,1005,0.60,0.00,1.00,8,2,11
746,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,221,1738,0.31,0.00,0.90,5,2,15
747,BossLose,41.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,323,2500,0.00,0.06,0.33,4,9,8
748,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,286,1502,0.40,0.00,0.57,5,7,13
749,BossLose,59.0,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,55,2500,0.00,0.84,0.88,2,16,3
750,BossLose,61.3,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,196,2500,0.00,0.19,0.83,3,15,7
751,BossLose,70.3,BossRangedZoner,PlayerMeleeBurst,PlayerHybridSurvivor,138,2500,0.00,0.46,0.85,2,15,1
752,BossLose,63.6,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,337,2500,0.00,0.00,0.32,7,9,11
753,BossWin,79.2,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,400,792,0.68,0.00,0.00,6,11,1
754,BossWin,50.1,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,735,0.71,0.00,0.00,5,11,1
755,BossLose,63.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,182,2500,0.00,0.09,1.00,0,17,13
756,BossWin,44.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,400,1407,0.44,0.00,0.00,3,5,5
757,BossLose,46.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,49,2500,0.00,0.75,1.00,0,13,7
758,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,200,1670,0.33,0.00,1.00,1,6,9
759,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,228,1054,0.58,0.00,0.86,3,8,0
760,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,200,1936,0.23,0.00,1.00,4,6,12
761,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,276,1615,0.35,0.00,0.62,1,4,6
762,BossLose,51.3,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,126,2500,0.00,0.37,1.00,1,15,2
763,BossWin,80.2,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,400,1070,0.57,0.00,0.00,7,3,6
764,BossLose,76.4,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,133,2500,0.00,0.33,1.00,1,13,6
765,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,360,1064,0.57,0.00,0.20,4,5,4
766,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,344,1363,0.45,0.00,0.28,7,8,2
767,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,200,1709,0.32,0.00,1.00,2,21,4
768,BossWin,64.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,400,1740,0.30,0.00,0.00,6,5,6
769,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerMeleeBurst,343,1935,0.23,0.00,0.28,3,10,8
770,BossWin,50.3,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,545,0.78,0.00,0.00,5,1,4
771,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,286,2102,0.16,0.00,0.57,4,8,15
772,BossLose,47.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,36,2500,0.00,0.94,0.88,0,11,5
773,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,189,2000,0.20,0.77,0.28,0,12,7
774,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,200,345,0.86,0.00,1.00,2,0,3
775,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,2002,0.20,0.00,1.00,2,7,21
776,BossWin,47.7,BossMeleeAggro,PlayerHybridSurvivor,PlayerMeleeBurst,400,1734,0.31,0.00,0.00,4,10,3
777,BossLose,65.4,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,17,2500,0.00,0.91,1.00,1,12,3
778,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,286,734,0.71,0.00,0.57,5,2,4
779,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,244,1768,0.29,0.00,0.78,5,15,1
780,BossLose,54.3,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,165,2500,0.00,0.21,0.97,2,13,6
781,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,249,680,0.73,0.00,0.76,3,6,0
782,BossLose,79.6,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,238,2500,0.00,0.34,0.47,3,14,6
783,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,280,808,0.68,0.00,0.60,7,3,1
784,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,261,2346,0.06,0.00,0.69,2,21,13
785,BossWin,71.7,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,400,1359,0.46,0.00,0.00,5,4,5
786,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,328,1410,0.44,0.00,0.36,10,4,17
787,BossLose,71.1,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,299,2500,0.00,0.00,0.51,8,6,14
788,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,308,1840,0.26,0.00,0.46,3,11,15
789,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,200,2000,0.20,0.00,1.00,3,6,5
790,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,200,2110,0.16,0.00,1.00,10,1,10
791,BossLose,70.1,BossTankSustain,PlayerMeleeBurst,PlayerCCDebuffer,227,2500,0.00,0.05,0.82,3,18,6
792,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,308,1741,0.30,0.00,0.46,2,9,3
793,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,139,1706,0.32,0.38,0.93,2,13,0
794,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,142,2073,0.17,1.00,0.29,4,23,7
795,BossLose,61.7,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,252,2500,0.00,0.00,0.74,4,11,10
796,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerTrainingSkillPool,230,2490,0.00,0.00,0.85,0,9,14
797,BossWin,82.2,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,1370,0.45,0.00,0.00,7,2,15
798,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,200,1816,0.27,0.00,1.00,1,4,7
799,BossWin,36.2,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,400,570,0.77,0.00,0.00,4,4,2
800,BossWin,30.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerMeleeBurst,400,676,0.73,0.00,0.00,4,2,4
801,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,270,2064,0.17,0.00,0.65,5,8,8
802,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,200,2287,0.09,0.00,1.00,5,7,12
803,BossWin,40.5,BossMeleeAggro,PlayerTrainingSkillPool,PlayerMeleeBurst,400,1055,0.58,0.00,0.00,4,8,4
804,BossLose,55.8,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,141,2500,0.00,0.30,1.00,1,13,5
805,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,200,2475,0.01,0.00,1.00,0,13,6
806,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,284,988,0.60,0.00,0.58,5,1,10
807,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,274,1163,0.53,0.00,0.63,6,3,7
808,BossLose,60.0,BossRangedZoner,PlayerCCDebuffer,PlayerMeleeBurst,129,2500,0.00,0.71,0.64,1,12,7
809,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,200,1301,0.48,0.00,1.00,4,9,1
810,BossLose,71.7,BossMeleeAggro,PlayerMeleeBurst,PlayerHybridSurvivor,96,2500,0.00,0.52,1.00,0,18,1
811,BossLose,65.5,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,127,2500,0.00,0.37,1.00,0,11,11
812,BossLose,55.4,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,19,2500,0.00,0.91,1.00,0,14,5
813,BossLose,73.7,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,56,2500,0.00,0.83,0.89,1,15,14
814,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,267,1660,0.34,0.00,0.66,3,3,8
815,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerMeleeBurst,200,1677,0.33,0.00,1.00,3,4,7
816,BossLose,79.3,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,105,2500,0.00,0.81,0.66,1,6,16

# === Session 2026-04-27 19:03:34 ===
Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
1,BossWin,71.6,BossRangedZoner,PlayerCCDebuffer,PlayerHybridSurvivor,400,1063,0.57,0.00,0.00,6,3,5
2,BossLose,52.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,164,2500,0.00,0.18,1.00,1,13,12
3,BossWin,50.3,BossMeleeAggro,PlayerRangedKiter,PlayerHybridSurvivor,400,1072,0.57,0.00,0.00,5,10,0
4,BossWin,20.2,BossRangedZoner,PlayerCCDebuffer,PlayerRangedKiter,400,340,0.86,0.00,0.00,3,3,1
5,BossWin,62.1,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,400,1524,0.39,0.00,0.00,2,10,17
6,BossLose,73.8,BossTankSustain,PlayerHybridSurvivor,PlayerRangedKiter,200,2500,0.00,0.00,1.00,2,5,18
7,BossWin,77.7,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,1186,0.53,0.00,0.00,9,2,17
8,BossLose,71.3,BossRangedZoner,PlayerMeleeBurst,PlayerRangedKiter,305,2500,0.00,0.00,0.48,7,3,17
9,BossWin,20.3,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,400,762,0.70,0.00,0.00,4,4,2
10,BossWin,38.2,BossMeleeAggro,PlayerHybridSurvivor,PlayerCCDebuffer,400,819,0.67,0.00,0.00,4,3,6
11,BossWin,56.2,BossMeleeAggro,PlayerCCDebuffer,PlayerRangedKiter,400,1224,0.51,0.00,0.00,5,4,15
12,BossLose,85.6,BossRangedZoner,PlayerRangedKiter,PlayerHybridSurvivor,70,2500,0.00,0.65,1.00,2,21,0
13,BossLose,89.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,307,2500,0.00,0.00,0.46,8,6,11
14,BossWin,78.2,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,400,1426,0.43,0.00,0.00,6,1,7
15,BossLose,46.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,242,2500,0.00,0.56,0.23,3,9,10
